,id,timestamp,lat,lon,destination,pattern_id,pattern_distance,trip_id
0,3206,20191204 19:42:37,40.44246502580314,-79.88680319950498,Downtown,6912,32448,5768
1,3255,20191204 19:42:47,40.43833187648228,-79.97936248779297,Downtown,6912,64614,5766
2,6118,20191204 19:42:51,40.44229139130691,-79.95597944588496,Braddock,6914,14403,6771
3,6119,20191204 19:42:58,40.44047596875359,-79.88926494822783,Braddock,6914,35790,6767
4,3308,20191204 19:42:56,40.442810746489975,-79.95703562752145,Downtown,6774,45231,5767
5,3311,20191204 19:42:51,40.4383378462358,-79.98012820157138,Downtown,6774,53100,5765
6,6439,20191204 19:42:26,40.43802007039388,-79.91266377766927,Braddock Hills Shopping Ctr,6776,28311,6769
7,6342,20191204 19:42:50,40.40205001831055,-79.86781311035156,Downtown,6806,239,5846
16,3206,20191204 19:43:08,40.44155869393978,-79.88712224420512,Downtown,6912,33137,5768
17,3255,20191204 19:43:08,40.438309832317074,-79.97948288336033,Downtown,6912,64684,5766
21,3311,20191204 19:43:08,40.43837695651584,-79.98095364040799,Downtown,6774,53347,5765
22,6439,20191204 19:43:10,40.438176241788,-79.90490514581853,Braddock Hills Shopping Ctr,6776,30472,6769
39,6342,20191204 19:43:21,40.40205001831055,-79.86781311035156,Downtown,6806,239,5846
43,6119,20191204 19:43:25,40.44025691863029,-79.88804183467742,Braddock,6914,36210,6767
44,3308,20191204 19:43:27,40.44246864318848,-79.95751857757568,Downtown,6774,45415,5767
50,6118,20191204 19:43:34,40.44284187479222,-79.95481353110455,Braddock,6914,14764,6771
56,3206,20191204 19:43:39,40.440625508626304,-79.88699377150763,Downtown,6912,33505,5768
57,3255,20191204 19:43:42,40.43844477335612,-79.98253970675998,Downtown,6912,65598,5766
61,3311,20191204 19:43:39,40.43850942758414,-79.98397181584285,Downtown,6774,54219,5765
64,3206,20191204 19:43:45,40.440625508626304,-79.88699377150763,Downtown,6912,33505,5768
77,3311,20191204 19:43:51,40.4385558712867,-79.98498165991998,Downtown,6774,54521,5765
79,6342,20191204 19:43:51,40.40205001831055,-79.86781311035156,Downtown,6806,239,5846
80,3206,20191204 19:43:57,40.44041442871094,-79.88792572021484,Downtown,6912,33792,5768
84,3308,20191204 19:43:58,40.44246864318848,-79.95751857757568,Downtown,6774,45415,5767
86,6439,20191204 19:43:53,40.439623151506694,-79.89834158761161,Braddock Hills Shopping Ctr,6776,32421,6769
88,6237,20191204 19:44:02,40.40179666666667,-79.86804666666667,Downtown,6898,252,5847
